inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;4;120;443650.6869699991;40.77479436
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;4;120;1.121545815198666e6;92.565487122
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;2;120;454330.3972663332;4.587343195
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;2;120;409570.30035899894;5.6785832240000005
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;2;120;1.0345560938366672e6;57.271638521
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;3;120;453778.0331139999;10.218909826
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;3;120;406331.30008899886;8.041375983
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;3;120;1.0150309540843328e6;88.887190025
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;4;120;453976.3868973332;33.393521265000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;4;120;406298.7722639993;20.798453961
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;4;120;1.0179961001119997e6;93.63534871400002
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;2;120;451998.637131;7.202071495999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;2;120;406540.16007;8.457127716999999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;2;120;1.0152507286916656e6;79.349162317
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;3;120;454235.6358079999;22.765821193999997
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;3;120;406325.29784899903;17.089081988
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;3;120;1.0221723569889995e6;98.361376933
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;4;120;452290.20024699986;30.481942657999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;4;120;408544.4133683325;27.372150691999998
